file_id,path,classes_tham_khao
as_strong_-pe3220aP0A_30000,data/raw/audioset_strong/audio/as_strong_-pe3220aP0A_30000.wav,explosion;speech_normal
as_strong_-IgQ4BYBLhc_0,data/raw/audioset_strong/audio/as_strong_-IgQ4BYBLhc_0.wav,fireworks;speech_normal
as_strong_-jLFXwKjuyk_340000,data/raw/audioset_strong/audio/as_strong_-jLFXwKjuyk_340000.wav,scream
as_strong_0N9EN0BEjP0_430000,data/raw/audioset_strong/audio/as_strong_0N9EN0BEjP0_430000.wav,siren
as_strong_-RebI7GGn40_190000,data/raw/audioset_strong/audio/as_strong_-RebI7GGn40_190000.wav,vehicle_crash
as_strong_-cZDjv-nv8s_30000,data/raw/audioset_strong/audio/as_strong_-cZDjv-nv8s_30000.wav,door_slam
as_strong_0q6o96Jp-jQ_30000,data/raw/audioset_strong/audio/as_strong_0q6o96Jp-jQ_30000.wav,explosion;gunshot
as_strong_-l7UtUcynx0_30000,data/raw/audioset_strong/audio/as_strong_-l7UtUcynx0_30000.wav,fireworks
as_strong_-WfQBr42ymw_30000,data/raw/audioset_strong/audio/as_strong_-WfQBr42ymw_30000.wav,scream
as_strong_0N6S5OoG7Vg_150000,data/raw/audioset_strong/audio/as_strong_0N6S5OoG7Vg_150000.wav,siren;speech_normal
as_strong_-uZN2HLOYjc_12000,data/raw/audioset_strong/audio/as_strong_-uZN2HLOYjc_12000.wav,vehicle_crash
as_strong_-FQeWkZ3eqg_30000,data/raw/audioset_strong/audio/as_strong_-FQeWkZ3eqg_30000.wav,door_slam;running_footsteps
as_strong_1HO4i4PcQx0_170000,data/raw/audioset_strong/audio/as_strong_1HO4i4PcQx0_170000.wav,explosion
as_strong_10epXJc4Ke8_0,data/raw/audioset_strong/audio/as_strong_10epXJc4Ke8_0.wav,fireworks
as_strong_-Zdg5qifBnA_30000,data/raw/audioset_strong/audio/as_strong_-Zdg5qifBnA_30000.wav,scream;speech_normal
as_strong_0TDW_Zi0M9Q_0,data/raw/audioset_strong/audio/as_strong_0TDW_Zi0M9Q_0.wav,running_footsteps;siren
as_strong_1yd_LqzcP7g_440000,data/raw/audioset_strong/audio/as_strong_1yd_LqzcP7g_440000.wav,speech_normal;vehicle_crash
as_strong_1K0Y5IjgHVo_130000,data/raw/audioset_strong/audio/as_strong_1K0Y5IjgHVo_130000.wav,door_slam;siren;speech_normal
as_strong_-m9pH0WXQto_110000,data/raw/audioset_strong/audio/as_strong_-m9pH0WXQto_110000.wav,explosion;shout_yell
as_strong_1CIYQNrgCDg_290000,data/raw/audioset_strong/audio/as_strong_1CIYQNrgCDg_290000.wav,fireworks;shout_yell;speech_normal
as_strong_-jCyCT3KjZA_8000,data/raw/audioset_strong/audio/as_strong_-jCyCT3KjZA_8000.wav,scream
as_strong_0W-Dz3y-ESA_30000,data/raw/audioset_strong/audio/as_strong_0W-Dz3y-ESA_30000.wav,laughter;running_footsteps;siren;speech_normal
as_strong_0s_BgvPYlDI_30000,data/raw/audioset_strong/audio/as_strong_0s_BgvPYlDI_30000.wav,speech_normal;vehicle_crash
as_strong_-QWAZRrgu4A_30000,data/raw/audioset_strong/audio/as_strong_-QWAZRrgu4A_30000.wav,explosion;speech_normal
as_strong_-Yx8hZAPYu8_30000,data/raw/audioset_strong/audio/as_strong_-Yx8hZAPYu8_30000.wav,fireworks;running_footsteps;speech_normal
as_strong_-tb1M-QeCjI_20000,data/raw/audioset_strong/audio/as_strong_-tb1M-QeCjI_20000.wav,siren
as_strong_0IwGsEzITQs_20000,data/raw/audioset_strong/audio/as_strong_0IwGsEzITQs_20000.wav,vehicle_crash
as_strong_0Gt-7aWNVgg_170000,data/raw/audioset_strong/audio/as_strong_0Gt-7aWNVgg_170000.wav,explosion
as_strong_-TJe1_ECCwM_6000,data/raw/audioset_strong/audio/as_strong_-TJe1_ECCwM_6000.wav,fireworks
as_strong_-v7cUxke-f4_30000,data/raw/audioset_strong/audio/as_strong_-v7cUxke-f4_30000.wav,siren
as_strong_0fbirFH795o_30000,data/raw/audioset_strong/audio/as_strong_0fbirFH795o_30000.wav,vehicle_crash
as_strong_0HDoqcA727o_30000,data/raw/audioset_strong/audio/as_strong_0HDoqcA727o_30000.wav,explosion;speech_normal
as_strong_04eSkMNRbcE_0,data/raw/audioset_strong/audio/as_strong_04eSkMNRbcE_0.wav,fireworks;speech_normal
as_strong_0L5Si21Y_UI_30000,data/raw/audioset_strong/audio/as_strong_0L5Si21Y_UI_30000.wav,siren;speech_normal
as_strong_-WoudI3gGvk_30000,data/raw/audioset_strong/audio/as_strong_-WoudI3gGvk_30000.wav,vehicle_crash
