rir_id,space_type,source,rt60_sec,duration_sec,path_bank
rir_medium_room_RVB2014_type1_rir_mediumroom1_near_anglb_0012,medium_room,openslr28_real,0.586,0.877,data/banks/rir/medium_room/rir_medium_room_RVB2014_type1_rir_mediumroom1_near_anglb_0012.wav
rir_medium_room_RVB2014_type1_rir_mediumroom2_far_angla_0013,medium_room,openslr28_real,0.64,0.866,data/banks/rir/medium_room/rir_medium_room_RVB2014_type1_rir_mediumroom2_far_angla_0013.wav
rir_medium_room_RVB2014_type1_rir_mediumroom2_far_anglb_0014,medium_room,openslr28_real,0.684,0.867,data/banks/rir/medium_room/rir_medium_room_RVB2014_type1_rir_mediumroom2_far_anglb_0014.wav
rir_small_room_RVB2014_type1_rir_mediumroom2_near_angla_0015,small_room,openslr28_real,0.429,0.869,data/banks/rir/small_room/rir_small_room_RVB2014_type1_rir_mediumroom2_near_angla_0015.wav
rir_small_room_RVB2014_type1_rir_mediumroom2_near_anglb_0016,small_room,openslr28_real,0.492,0.87,data/banks/rir/small_room/rir_small_room_RVB2014_type1_rir_mediumroom2_near_anglb_0016.wav
rir_small_room_RVB2014_type1_rir_smallroom1_far_angla_0017,small_room,openslr28_real,0.266,0.867,data/banks/rir/small_room/rir_small_room_RVB2014_type1_rir_smallroom1_far_angla_0017.wav
rir_small_room_RVB2014_type1_rir_smallroom1_far_anglb_0018,small_room,openslr28_real,0.24,0.867,data/banks/rir/small_room/rir_small_room_RVB2014_type1_rir_smallroom1_far_anglb_0018.wav
rir_small_room_RVB2014_type1_rir_smallroom1_near_angla_0019,small_room,openslr28_real,0.222,0.871,data/banks/rir/small_room/rir_small_room_RVB2014_type1_rir_smallroom1_near_angla_0019.wav
rir_small_room_RVB2014_type1_rir_smallroom1_near_anglb_0020,small_room,openslr28_real,0.211,0.871,data/banks/rir/small_room/rir_small_room_RVB2014_type1_rir_smallroom1_near_anglb_0020.wav
rir_small_room_RVB2014_type1_rir_smallroom2_far_angla_0021,small_room,openslr28_real,0.433,0.954,data/banks/rir/small_room/rir_small_room_RVB2014_type1_rir_smallroom2_far_angla_0021.wav
rir_small_room_RVB2014_type1_rir_smallroom2_far_anglb_0022,small_room,openslr28_real,0.424,0.954,data/banks/rir/small_room/rir_small_room_RVB2014_type1_rir_smallroom2_far_anglb_0022.wav
rir_small_room_RVB2014_type1_rir_smallroom2_near_angla_0023,small_room,openslr28_real,0.338,0.959,data/banks/rir/small_room/rir_small_room_RVB2014_type1_rir_smallroom2_near_angla_0023.wav
rir_small_room_RVB2014_type1_rir_smallroom2_near_anglb_0024,small_room,openslr28_real,0.391,0.959,data/banks/rir/small_room/rir_small_room_RVB2014_type1_rir_smallroom2_near_anglb_0024.wav
rir_small_room_RVB2014_type2_rir_simroom1_far_angla_0025,small_room,openslr28_real,0.248,0.869,data/banks/rir/small_room/rir_small_room_RVB2014_type2_rir_simroom1_far_angla_0025.wav
rir_small_room_RVB2014_type2_rir_simroom1_far_anglb_0026,small_room,openslr28_real,0.22,0.869,data/banks/rir/small_room/rir_small_room_RVB2014_type2_rir_simroom1_far_anglb_0026.wav
rir_small_room_RVB2014_type2_rir_simroom1_near_angla_0027,small_room,openslr28_real,0.205,0.872,data/banks/rir/small_room/rir_small_room_RVB2014_type2_rir_simroom1_near_angla_0027.wav
rir_small_room_RVB2014_type2_rir_simroom1_near_anglb_0028,small_room,openslr28_real,0.168,0.873,data/banks/rir/small_room/rir_small_room_RVB2014_type2_rir_simroom1_near_anglb_0028.wav
rir_medium_room_RVB2014_type2_rir_simroom2_far_angla_0029,medium_room,openslr28_real,0.579,0.954,data/banks/rir/medium_room/rir_medium_room_RVB2014_type2_rir_simroom2_far_angla_0029.wav
rir_medium_room_RVB2014_type2_rir_simroom2_far_anglb_0030,medium_room,openslr28_real,0.592,0.954,data/banks/rir/medium_room/rir_medium_room_RVB2014_type2_rir_simroom2_far_anglb_0030.wav
rir_small_room_RVB2014_type2_rir_simroom2_near_angla_0031,small_room,openslr28_real,0.442,0.959,data/banks/rir/small_room/rir_small_room_RVB2014_type2_rir_simroom2_near_angla_0031.wav
rir_small_room_RVB2014_type2_rir_simroom2_near_anglb_0032,small_room,openslr28_real,0.452,0.959,data/banks/rir/small_room/rir_small_room_RVB2014_type2_rir_simroom2_near_anglb_0032.wav
rir_medium_room_RVB2014_type2_rir_simroom3_far_angla_0033,medium_room,openslr28_real,0.724,0.862,data/banks/rir/medium_room/rir_medium_room_RVB2014_type2_rir_simroom3_far_angla_0033.wav
rir_medium_room_RVB2014_type2_rir_simroom3_far_anglb_0034,medium_room,openslr28_real,0.694,0.871,data/banks/rir/medium_room/rir_medium_room_RVB2014_type2_rir_simroom3_far_anglb_0034.wav
rir_medium_room_RVB2014_type2_rir_simroom3_near_angla_0035,medium_room,openslr28_real,0.541,0.875,data/banks/rir/medium_room/rir_medium_room_RVB2014_type2_rir_simroom3_near_angla_0035.wav
rir_medium_room_RVB2014_type2_rir_simroom3_near_anglb_0036,medium_room,openslr28_real,0.589,0.866,data/banks/rir/medium_room/rir_medium_room_RVB2014_type2_rir_simroom3_near_anglb_0036.wav
rir_small_room_RWCP_type1_rir_circle_ane_imp020_0039,small_room,openslr28_real,0.222,0.104,data/banks/rir/small_room/rir_small_room_RWCP_type1_rir_circle_ane_imp020_0039.wav
rir_small_room_RWCP_type1_rir_circle_ane_imp040_0041,small_room,openslr28_real,0.198,0.104,data/banks/rir/small_room/rir_small_room_RWCP_type1_rir_circle_ane_imp040_0041.wav
rir_small_room_RWCP_type1_rir_circle_ane_imp060_0043,small_room,openslr28_real,0.23,0.104,data/banks/rir/small_room/rir_small_room_RWCP_type1_rir_circle_ane_imp060_0043.wav
rir_small_room_RWCP_type1_rir_circle_ane_imp070_0044,small_room,openslr28_real,0.16,0.104,data/banks/rir/small_room/rir_small_room_RWCP_type1_rir_circle_ane_imp070_0044.wav
rir_small_room_RWCP_type1_rir_circle_ane_imp080_0045,small_room,openslr28_real,0.213,0.104,data/banks/rir/small_room/rir_small_room_RWCP_type1_rir_circle_ane_imp080_0045.wav
rir_small_room_RWCP_type1_rir_circle_ane_imp120_0049,small_room,openslr28_real,0.164,0.104,data/banks/rir/small_room/rir_small_room_RWCP_type1_rir_circle_ane_imp120_0049.wav
rir_small_room_RWCP_type1_rir_circle_ane_imp130_0050,small_room,openslr28_real,0.173,0.104,data/banks/rir/small_room/rir_small_room_RWCP_type1_rir_circle_ane_imp130_0050.wav
rir_small_room_RWCP_type1_rir_circle_ane_imp220_0059,small_room,openslr28_real,0.204,0.104,data/banks/rir/small_room/rir_small_room_RWCP_type1_rir_circle_ane_imp220_0059.wav
rir_small_room_RWCP_type1_rir_circle_e1a_imp090_0073,small_room,openslr28_real,0.172,0.25,data/banks/rir/small_room/rir_small_room_RWCP_type1_rir_circle_e1a_imp090_0073.wav
rir_medium_room_RWCP_type1_rir_circle_e1b_imp000_0074,medium_room,openslr28_real,0.644,0.625,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_circle_e1b_imp000_0074.wav
rir_medium_room_RWCP_type1_rir_circle_e1b_imp010_0075,medium_room,openslr28_real,0.613,0.625,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_circle_e1b_imp010_0075.wav
rir_medium_room_RWCP_type1_rir_circle_e1b_imp020_0076,medium_room,openslr28_real,0.709,0.625,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_circle_e1b_imp020_0076.wav
rir_medium_room_RWCP_type1_rir_circle_e1b_imp030_0077,medium_room,openslr28_real,0.77,0.624,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_circle_e1b_imp030_0077.wav
rir_medium_room_RWCP_type1_rir_circle_e1b_imp040_0078,medium_room,openslr28_real,0.724,0.625,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_circle_e1b_imp040_0078.wav
rir_medium_room_RWCP_type1_rir_circle_e1b_imp050_0079,medium_room,openslr28_real,0.617,0.624,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_circle_e1b_imp050_0079.wav
rir_medium_room_RWCP_type1_rir_circle_e1b_imp060_0080,medium_room,openslr28_real,0.685,0.625,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_circle_e1b_imp060_0080.wav
rir_medium_room_RWCP_type1_rir_circle_e1b_imp070_0081,medium_room,openslr28_real,0.667,0.625,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_circle_e1b_imp070_0081.wav
rir_medium_room_RWCP_type1_rir_circle_e1b_imp080_0082,medium_room,openslr28_real,0.75,0.625,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_circle_e1b_imp080_0082.wav
rir_medium_room_RWCP_type1_rir_circle_e1b_imp090_0083,medium_room,openslr28_real,0.763,0.625,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_circle_e1b_imp090_0083.wav
rir_medium_room_RWCP_type1_rir_circle_e1b_imp100_0084,medium_room,openslr28_real,0.645,0.625,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_circle_e1b_imp100_0084.wav
rir_medium_room_RWCP_type1_rir_circle_e1b_imp110_0085,medium_room,openslr28_real,0.618,0.625,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_circle_e1b_imp110_0085.wav
rir_medium_room_RWCP_type1_rir_circle_e1b_imp120_0086,medium_room,openslr28_real,0.562,0.625,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_circle_e1b_imp120_0086.wav
rir_medium_room_RWCP_type1_rir_circle_e1b_imp130_0087,medium_room,openslr28_real,0.705,0.625,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_circle_e1b_imp130_0087.wav
rir_medium_room_RWCP_type1_rir_circle_e1b_imp140_0088,medium_room,openslr28_real,0.673,0.625,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_circle_e1b_imp140_0088.wav
rir_medium_room_RWCP_type1_rir_circle_e1b_imp150_0089,medium_room,openslr28_real,0.653,0.625,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_circle_e1b_imp150_0089.wav
rir_medium_room_RWCP_type1_rir_circle_e1b_imp160_0090,medium_room,openslr28_real,0.646,0.625,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_circle_e1b_imp160_0090.wav
rir_medium_room_RWCP_type1_rir_circle_e1b_imp170_0091,medium_room,openslr28_real,0.688,0.625,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_circle_e1b_imp170_0091.wav
rir_medium_room_RWCP_type1_rir_circle_e1b_imp180_0092,medium_room,openslr28_real,0.668,0.625,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_circle_e1b_imp180_0092.wav
rir_medium_room_RWCP_type1_rir_circle_e1c_imp000_0093,medium_room,openslr28_real,0.733,0.749,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_circle_e1c_imp000_0093.wav
rir_medium_room_RWCP_type1_rir_circle_e1c_imp010_0094,medium_room,openslr28_real,0.772,0.75,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_circle_e1c_imp010_0094.wav
rir_medium_room_RWCP_type1_rir_circle_e1c_imp020_0095,medium_room,openslr28_real,0.702,0.749,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_circle_e1c_imp020_0095.wav
rir_medium_room_RWCP_type1_rir_circle_e1c_imp030_0096,medium_room,openslr28_real,0.836,0.75,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_circle_e1c_imp030_0096.wav
rir_medium_room_RWCP_type1_rir_circle_e1c_imp040_0097,medium_room,openslr28_real,0.735,0.749,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_circle_e1c_imp040_0097.wav
rir_medium_room_RWCP_type1_rir_circle_e1c_imp050_0098,medium_room,openslr28_real,0.852,0.75,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_circle_e1c_imp050_0098.wav
rir_medium_room_RWCP_type1_rir_circle_e1c_imp060_0099,medium_room,openslr28_real,0.87,0.75,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_circle_e1c_imp060_0099.wav
rir_medium_room_RWCP_type1_rir_circle_e1c_imp070_0100,medium_room,openslr28_real,0.659,0.75,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_circle_e1c_imp070_0100.wav
rir_medium_room_RWCP_type1_rir_circle_e1c_imp080_0101,medium_room,openslr28_real,0.748,0.75,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_circle_e1c_imp080_0101.wav
rir_medium_room_RWCP_type1_rir_circle_e1c_imp090_0102,medium_room,openslr28_real,0.613,0.75,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_circle_e1c_imp090_0102.wav
rir_medium_room_RWCP_type1_rir_circle_e1c_imp100_0103,medium_room,openslr28_real,0.711,0.75,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_circle_e1c_imp100_0103.wav
rir_medium_room_RWCP_type1_rir_circle_e1c_imp110_0104,medium_room,openslr28_real,0.795,0.75,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_circle_e1c_imp110_0104.wav
rir_medium_room_RWCP_type1_rir_circle_e1c_imp120_0105,medium_room,openslr28_real,0.611,0.75,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_circle_e1c_imp120_0105.wav
rir_medium_room_RWCP_type1_rir_circle_e1c_imp130_0106,medium_room,openslr28_real,0.905,0.749,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_circle_e1c_imp130_0106.wav
rir_medium_room_RWCP_type1_rir_circle_e1c_imp140_0107,medium_room,openslr28_real,0.993,0.75,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_circle_e1c_imp140_0107.wav
rir_medium_room_RWCP_type1_rir_circle_e1c_imp150_0108,medium_room,openslr28_real,0.9,0.75,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_circle_e1c_imp150_0108.wav
rir_medium_room_RWCP_type1_rir_circle_e1c_imp160_0109,medium_room,openslr28_real,0.7,0.75,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_circle_e1c_imp160_0109.wav
rir_medium_room_RWCP_type1_rir_circle_e1c_imp170_0110,medium_room,openslr28_real,0.607,0.75,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_circle_e1c_imp170_0110.wav
rir_medium_room_RWCP_type1_rir_circle_e1c_imp180_0111,medium_room,openslr28_real,0.64,0.749,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_circle_e1c_imp180_0111.wav
rir_small_room_RWCP_type1_rir_cirline_e2a_imp010_0112,small_room,openslr28_real,0.334,0.623,data/banks/rir/small_room/rir_small_room_RWCP_type1_rir_cirline_e2a_imp010_0112.wav
rir_small_room_RWCP_type1_rir_cirline_e2a_imp030_0113,small_room,openslr28_real,0.315,0.623,data/banks/rir/small_room/rir_small_room_RWCP_type1_rir_cirline_e2a_imp030_0113.wav
rir_small_room_RWCP_type1_rir_cirline_e2a_imp050_0114,small_room,openslr28_real,0.349,0.623,data/banks/rir/small_room/rir_small_room_RWCP_type1_rir_cirline_e2a_imp050_0114.wav
rir_small_room_RWCP_type1_rir_cirline_e2a_imp070_0115,small_room,openslr28_real,0.372,0.623,data/banks/rir/small_room/rir_small_room_RWCP_type1_rir_cirline_e2a_imp070_0115.wav
rir_small_room_RWCP_type1_rir_cirline_e2a_imp090_0116,small_room,openslr28_real,0.333,0.623,data/banks/rir/small_room/rir_small_room_RWCP_type1_rir_cirline_e2a_imp090_0116.wav
rir_small_room_RWCP_type1_rir_cirline_e2a_imp110_0117,small_room,openslr28_real,0.366,0.623,data/banks/rir/small_room/rir_small_room_RWCP_type1_rir_cirline_e2a_imp110_0117.wav
rir_small_room_RWCP_type1_rir_cirline_e2a_imp130_0118,small_room,openslr28_real,0.317,0.623,data/banks/rir/small_room/rir_small_room_RWCP_type1_rir_cirline_e2a_imp130_0118.wav
rir_small_room_RWCP_type1_rir_cirline_e2a_imp150_0119,small_room,openslr28_real,0.314,0.623,data/banks/rir/small_room/rir_small_room_RWCP_type1_rir_cirline_e2a_imp150_0119.wav
rir_small_room_RWCP_type1_rir_cirline_e2a_imp170_0120,small_room,openslr28_real,0.259,0.623,data/banks/rir/small_room/rir_small_room_RWCP_type1_rir_cirline_e2a_imp170_0120.wav
rir_large_room_RWCP_type1_rir_cirline_e2b_imp010_0121,large_room,openslr28_real,5.006,2.0,data/banks/rir/large_room/rir_large_room_RWCP_type1_rir_cirline_e2b_imp010_0121.wav
rir_medium_room_RWCP_type1_rir_cirline_e2b_imp030_0122,medium_room,openslr28_real,0.969,2.0,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_cirline_e2b_imp030_0122.wav
rir_large_room_RWCP_type1_rir_cirline_e2b_imp050_0123,large_room,openslr28_real,4.482,2.0,data/banks/rir/large_room/rir_large_room_RWCP_type1_rir_cirline_e2b_imp050_0123.wav
rir_large_room_RWCP_type1_rir_cirline_e2b_imp070_0124,large_room,openslr28_real,5.128,2.0,data/banks/rir/large_room/rir_large_room_RWCP_type1_rir_cirline_e2b_imp070_0124.wav
rir_large_room_RWCP_type1_rir_cirline_e2b_imp090_0125,large_room,openslr28_real,1.208,2.0,data/banks/rir/large_room/rir_large_room_RWCP_type1_rir_cirline_e2b_imp090_0125.wav
rir_large_room_RWCP_type1_rir_cirline_e2b_imp110_0126,large_room,openslr28_real,1.845,2.0,data/banks/rir/large_room/rir_large_room_RWCP_type1_rir_cirline_e2b_imp110_0126.wav
rir_medium_room_RWCP_type1_rir_cirline_e2b_imp130_0127,medium_room,openslr28_real,0.992,2.0,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_cirline_e2b_imp130_0127.wav
rir_large_room_RWCP_type1_rir_cirline_e2b_imp150_0128,large_room,openslr28_real,4.409,2.0,data/banks/rir/large_room/rir_large_room_RWCP_type1_rir_cirline_e2b_imp150_0128.wav
rir_large_room_RWCP_type1_rir_cirline_e2b_imp170_0129,large_room,openslr28_real,4.589,2.0,data/banks/rir/large_room/rir_large_room_RWCP_type1_rir_cirline_e2b_imp170_0129.wav
rir_medium_room_RWCP_type1_rir_cirline_jr1_imp050_0130,medium_room,openslr28_real,0.739,1.248,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_cirline_jr1_imp050_0130.wav
rir_large_room_RWCP_type1_rir_cirline_jr1_imp060_0131,large_room,openslr28_real,1.949,1.248,data/banks/rir/large_room/rir_large_room_RWCP_type1_rir_cirline_jr1_imp060_0131.wav
rir_medium_room_RWCP_type1_rir_cirline_jr1_imp070_0132,medium_room,openslr28_real,0.658,1.248,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_cirline_jr1_imp070_0132.wav
rir_large_room_RWCP_type1_rir_cirline_jr1_imp080_0133,large_room,openslr28_real,1.797,1.248,data/banks/rir/large_room/rir_large_room_RWCP_type1_rir_cirline_jr1_imp080_0133.wav
rir_medium_room_RWCP_type1_rir_cirline_jr1_imp090_0134,medium_room,openslr28_real,0.711,1.248,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_cirline_jr1_imp090_0134.wav
rir_medium_room_RWCP_type1_rir_cirline_jr1_imp100_0135,medium_room,openslr28_real,0.783,1.248,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_cirline_jr1_imp100_0135.wav
rir_medium_room_RWCP_type1_rir_cirline_jr1_imp110_0136,medium_room,openslr28_real,0.777,1.248,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_cirline_jr1_imp110_0136.wav
rir_large_room_RWCP_type1_rir_cirline_jr1_imp120_0137,large_room,openslr28_real,1.736,1.248,data/banks/rir/large_room/rir_large_room_RWCP_type1_rir_cirline_jr1_imp120_0137.wav
rir_medium_room_RWCP_type1_rir_cirline_jr1_imp130_0138,medium_room,openslr28_real,0.697,1.248,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_cirline_jr1_imp130_0138.wav
rir_medium_room_RWCP_type1_rir_cirline_jr2_imp060_0139,medium_room,openslr28_real,0.655,0.91,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_cirline_jr2_imp060_0139.wav
rir_medium_room_RWCP_type1_rir_cirline_jr2_imp070_0140,medium_room,openslr28_real,0.524,0.935,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_cirline_jr2_imp070_0140.wav
rir_medium_room_RWCP_type1_rir_cirline_jr2_imp080_0141,medium_room,openslr28_real,0.577,0.935,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_cirline_jr2_imp080_0141.wav
rir_medium_room_RWCP_type1_rir_cirline_jr2_imp090_0142,medium_room,openslr28_real,0.702,0.935,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_cirline_jr2_imp090_0142.wav
rir_medium_room_RWCP_type1_rir_cirline_jr2_imp100_0143,medium_room,openslr28_real,0.506,0.935,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_cirline_jr2_imp100_0143.wav
rir_medium_room_RWCP_type1_rir_cirline_jr2_imp110_0144,medium_room,openslr28_real,0.585,0.935,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_cirline_jr2_imp110_0144.wav
rir_medium_room_RWCP_type1_rir_cirline_jr2_imp120_0145,medium_room,openslr28_real,0.647,0.935,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_cirline_jr2_imp120_0145.wav
rir_medium_room_RWCP_type1_rir_cirline_ofc_imp050_0146,medium_room,openslr28_real,0.978,1.548,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_cirline_ofc_imp050_0146.wav
rir_medium_room_RWCP_type1_rir_cirline_ofc_imp060_0147,medium_room,openslr28_real,0.907,1.56,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_cirline_ofc_imp060_0147.wav
rir_medium_room_RWCP_type1_rir_cirline_ofc_imp070_0148,medium_room,openslr28_real,0.91,1.56,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_cirline_ofc_imp070_0148.wav
rir_medium_room_RWCP_type1_rir_cirline_ofc_imp080_0149,medium_room,openslr28_real,0.778,1.56,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_cirline_ofc_imp080_0149.wav
rir_medium_room_RWCP_type1_rir_cirline_ofc_imp090_0150,medium_room,openslr28_real,0.792,1.56,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_cirline_ofc_imp090_0150.wav
rir_medium_room_RWCP_type1_rir_cirline_ofc_imp100_0151,medium_room,openslr28_real,0.796,1.56,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_cirline_ofc_imp100_0151.wav
rir_large_room_RWCP_type1_rir_cirline_ofc_imp110_0152,large_room,openslr28_real,1.285,1.56,data/banks/rir/large_room/rir_large_room_RWCP_type1_rir_cirline_ofc_imp110_0152.wav
rir_medium_room_RWCP_type1_rir_cirline_ofc_imp120_0153,medium_room,openslr28_real,0.992,1.56,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_cirline_ofc_imp120_0153.wav
rir_medium_room_RWCP_type1_rir_cirline_ofc_imp130_0154,medium_room,openslr28_real,0.911,1.56,data/banks/rir/medium_room/rir_medium_room_RWCP_type1_rir_cirline_ofc_imp130_0154.wav
rir_small_room_RWCP_type2_rir_cirline_e2a_imp050_0160,small_room,openslr28_real,0.308,0.624,data/banks/rir/small_room/rir_small_room_RWCP_type2_rir_cirline_e2a_imp050_0160.wav
rir_small_room_RWCP_type2_rir_cirline_e2a_imp070_0161,small_room,openslr28_real,0.389,0.624,data/banks/rir/small_room/rir_small_room_RWCP_type2_rir_cirline_e2a_imp070_0161.wav
rir_small_room_RWCP_type2_rir_cirline_e2a_imp090_0162,small_room,openslr28_real,0.349,0.624,data/banks/rir/small_room/rir_small_room_RWCP_type2_rir_cirline_e2a_imp090_0162.wav
rir_small_room_RWCP_type2_rir_cirline_e2a_imp110_0163,small_room,openslr28_real,0.379,0.624,data/banks/rir/small_room/rir_small_room_RWCP_type2_rir_cirline_e2a_imp110_0163.wav
rir_small_room_RWCP_type2_rir_cirline_e2a_imp130_0164,small_room,openslr28_real,0.439,0.624,data/banks/rir/small_room/rir_small_room_RWCP_type2_rir_cirline_e2a_imp130_0164.wav
rir_medium_room_RWCP_type2_rir_cirline_e2b_imp050_0165,medium_room,openslr28_real,0.998,2.0,data/banks/rir/medium_room/rir_medium_room_RWCP_type2_rir_cirline_e2b_imp050_0165.wav
rir_medium_room_RWCP_type2_rir_cirline_e2b_imp070_0166,medium_room,openslr28_real,0.877,2.0,data/banks/rir/medium_room/rir_medium_room_RWCP_type2_rir_cirline_e2b_imp070_0166.wav
rir_medium_room_RWCP_type2_rir_cirline_e2b_imp090_0167,medium_room,openslr28_real,0.954,2.0,data/banks/rir/medium_room/rir_medium_room_RWCP_type2_rir_cirline_e2b_imp090_0167.wav
rir_medium_room_RWCP_type2_rir_cirline_e2b_imp110_0168,medium_room,openslr28_real,0.819,2.0,data/banks/rir/medium_room/rir_medium_room_RWCP_type2_rir_cirline_e2b_imp110_0168.wav
rir_medium_room_RWCP_type2_rir_cirline_e2b_imp130_0169,medium_room,openslr28_real,0.916,2.0,data/banks/rir/medium_room/rir_medium_room_RWCP_type2_rir_cirline_e2b_imp130_0169.wav
