file_id,class_id,p_target,p_confusable,top_confusable,decision,priority,onset,offset,path_norm
desed_alarm_bell_207ac269,alarm_bell,0.1773,0.0012,siren,review,normal,0.0,0.483,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_207ac269.wav
desed_alarm_bell_212036cc,alarm_bell,0.2474,0.0012,siren,review,normal,0.0,0.485,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_212036cc.wav
desed_alarm_bell_21bea9cc,alarm_bell,0.4548,0.0004,siren,auto_accept,,0.0,0.688,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_21bea9cc.wav
desed_alarm_bell_22000d5c,alarm_bell,0.1752,0.3322,siren,review,high,0.0,0.311,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_22000d5c.wav
desed_alarm_bell_248cb8a7,alarm_bell,0.8845,0.0001,siren,auto_accept,,0.0,23.089,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_248cb8a7.wav
desed_alarm_bell_26315eee,alarm_bell,0.7703,0.0002,siren,auto_accept,,0.0,0.565,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_26315eee.wav
desed_alarm_bell_279220b2,alarm_bell,0.2183,0.0655,siren,review,normal,0.0,0.316,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_279220b2.wav
desed_alarm_bell_2888c09d,alarm_bell,0.1691,0.3345,siren,review,high,0.0,0.311,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_2888c09d.wav
desed_alarm_bell_2c424415,alarm_bell,0.0906,0.033,siren,review,normal,0.0,0.32,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_2c424415.wav
desed_alarm_bell_2f675ca9,alarm_bell,0.059,0.0009,siren,review,normal,0.0,0.689,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_2f675ca9.wav
desed_alarm_bell_313321fb,alarm_bell,0.1387,0.3201,siren,review,high,0.0,0.306,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_313321fb.wav
desed_alarm_bell_3134eda0,alarm_bell,0.2695,0.0011,siren,review,normal,0.0,1.008,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_3134eda0.wav
desed_alarm_bell_319b8e25,alarm_bell,0.2838,0.0014,siren,review,normal,0.0,0.489,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_319b8e25.wav
desed_alarm_bell_3530a9cb,alarm_bell,0.2267,0.1675,siren,review,normal,0.0,0.32,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_3530a9cb.wav
desed_alarm_bell_355fa571,alarm_bell,0.1137,0.0023,siren,review,normal,0.0,0.32,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_355fa571.wav
desed_alarm_bell_36e46582,alarm_bell,0.693,0.0002,siren,auto_accept,,0.0,0.562,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_36e46582.wav
desed_alarm_bell_3747d982,alarm_bell,0.6653,0.0004,siren,auto_accept,,0.0,0.61,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_3747d982.wav
desed_alarm_bell_3787c6c4,alarm_bell,0.142,0.2133,siren,review,high,0.0,0.316,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_3787c6c4.wav
desed_alarm_bell_37a1f4a3,alarm_bell,0.736,0.0003,siren,auto_accept,,0.0,0.572,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_37a1f4a3.wav
desed_alarm_bell_38ceec78,alarm_bell,0.7061,0.0021,siren,auto_accept,,0.0,0.235,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_38ceec78.wav
desed_alarm_bell_39790714,alarm_bell,0.2358,0.0019,siren,review,normal,0.0,0.514,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_39790714.wav
desed_alarm_bell_399b7f76,alarm_bell,0.1451,0.2295,siren,review,high,0.0,0.32,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_399b7f76.wav
desed_alarm_bell_39aad88b,alarm_bell,0.7773,0.0003,siren,auto_accept,,0.0,0.555,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_39aad88b.wav
desed_alarm_bell_3ab4ee0b,alarm_bell,0.7234,0.0027,siren,auto_accept,,0.0,0.235,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_3ab4ee0b.wav
desed_alarm_bell_3c701262,alarm_bell,0.0534,0.0007,siren,review,normal,0.0,1.648,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_3c701262.wav
desed_alarm_bell_3d9c81a5,alarm_bell,0.8446,0.0001,siren,auto_accept,,0.0,0.538,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_3d9c81a5.wav
desed_alarm_bell_3f9d5aa3,alarm_bell,0.1705,0.3342,siren,review,high,0.0,0.311,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_3f9d5aa3.wav
desed_alarm_bell_4028a3da,alarm_bell,0.876,0.0001,siren,auto_accept,,0.0,3.564,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_4028a3da.wav
desed_alarm_bell_4048080c,alarm_bell,0.6229,0.0005,siren,auto_accept,,0.0,0.104,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_4048080c.wav
desed_alarm_bell_42a59b74,alarm_bell,0.676,0.0003,siren,auto_accept,,0.0,0.57,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_42a59b74.wav
desed_alarm_bell_42ad3bf9,alarm_bell,0.4432,0.0024,siren,auto_accept,,0.0,0.229,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_42ad3bf9.wav
desed_alarm_bell_42f68488,alarm_bell,0.1838,0.2207,siren,review,high,0.0,0.313,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_42f68488.wav
desed_alarm_bell_47161f23,alarm_bell,0.8317,0.0001,siren,auto_accept,,0.0,0.534,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_47161f23.wav
desed_alarm_bell_475854b8,alarm_bell,0.309,0.0007,siren,auto_accept,,0.0,0.492,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_475854b8.wav
desed_alarm_bell_49d0ae15,alarm_bell,0.6444,0.0026,siren,auto_accept,,0.0,0.237,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_49d0ae15.wav
desed_alarm_bell_4a8f8fe2,alarm_bell,0.8033,0.0001,siren,auto_accept,,0.0,0.59,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_4a8f8fe2.wav
desed_alarm_bell_4acef7b3,alarm_bell,0.1688,0.3348,siren,review,high,0.0,0.311,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_4acef7b3.wav
desed_alarm_bell_4c60bea6,alarm_bell,0.081,0.0008,siren,review,normal,0.0,1.009,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_4c60bea6.wav
desed_alarm_bell_4dcf1840,alarm_bell,0.4441,0.0024,siren,auto_accept,,0.0,1.012,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_4dcf1840.wav
desed_alarm_bell_4f72d71e,alarm_bell,0.1715,0.3335,siren,review,high,0.0,0.311,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_4f72d71e.wav
desed_alarm_bell_53935871,alarm_bell,0.1996,0.0012,siren,review,normal,0.0,0.485,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_53935871.wav
desed_alarm_bell_5620a7d9,alarm_bell,0.6038,0.0005,siren,auto_accept,,0.0,1.001,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_5620a7d9.wav
desed_alarm_bell_56a3938e,alarm_bell,0.6954,0.0356,siren,auto_accept,,0.0,0.242,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_56a3938e.wav
desed_alarm_bell_56bca464,alarm_bell,0.1753,0.0014,siren,review,normal,0.0,0.482,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_56bca464.wav
desed_alarm_bell_5789beb0,alarm_bell,0.1313,0.001,siren,review,normal,0.0,0.486,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_5789beb0.wav
desed_alarm_bell_589d76f9,alarm_bell,0.7868,0.0003,siren,auto_accept,,0.0,2.605,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_589d76f9.wav
desed_alarm_bell_58e96ac2,alarm_bell,0.7123,0.0057,siren,auto_accept,,0.0,1.33,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_58e96ac2.wav
desed_alarm_bell_5b9ce681,alarm_bell,0.6853,0.0004,siren,auto_accept,,0.0,1.648,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_5b9ce681.wav
desed_alarm_bell_5b9e6bd8,alarm_bell,0.0863,0.0045,siren,review,normal,0.0,0.315,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_5b9e6bd8.wav
desed_alarm_bell_5d6ca0a1,alarm_bell,0.2774,0.002,siren,review,normal,0.0,0.518,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_5d6ca0a1.wav
desed_alarm_bell_5dbbdf69,alarm_bell,0.2678,0.0012,siren,review,normal,0.0,0.312,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_5dbbdf69.wav
desed_alarm_bell_60367f06,alarm_bell,0.1695,0.0017,siren,review,normal,0.0,0.359,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_60367f06.wav
desed_alarm_bell_6157608c,alarm_bell,0.484,0.0008,siren,auto_accept,,0.0,0.495,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_6157608c.wav
desed_alarm_bell_61becda7,alarm_bell,0.175,0.332,siren,review,high,0.0,0.311,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_61becda7.wav
desed_alarm_bell_6261dc0a,alarm_bell,0.7538,0.0002,siren,auto_accept,,0.0,0.672,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_6261dc0a.wav
desed_alarm_bell_62ed06e7,alarm_bell,0.1906,0.055,siren,review,normal,0.0,0.333,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_62ed06e7.wav
desed_alarm_bell_630dc66f,alarm_bell,0.8954,0.0227,siren,auto_accept,,0.0,0.316,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_630dc66f.wav
desed_alarm_bell_66037bb2,alarm_bell,0.6232,0.0006,siren,auto_accept,,0.0,1.016,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_66037bb2.wav
desed_alarm_bell_66c738d5,alarm_bell,0.6946,0.0349,siren,auto_accept,,0.0,0.242,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_66c738d5.wav
desed_alarm_bell_6b98ee0b,alarm_bell,0.5558,0.001,siren,auto_accept,,0.0,1.016,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_6b98ee0b.wav
desed_alarm_bell_6d17d863,alarm_bell,0.2268,0.0005,siren,review,normal,0.0,0.476,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_6d17d863.wav
desed_alarm_bell_6e8803ee,alarm_bell,0.285,0.0005,siren,review,normal,0.27,1.97,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_6e8803ee.wav
desed_alarm_bell_7010b150,alarm_bell,0.1667,0.1667,siren,review,normal,0.0,0.321,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_7010b150.wav
desed_alarm_bell_701b77fd,alarm_bell,0.3375,0.1721,siren,auto_accept,,0.0,0.328,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_701b77fd.wav
desed_alarm_bell_70f81d45,alarm_bell,0.1738,0.3326,siren,review,high,0.0,0.311,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_70f81d45.wav
desed_alarm_bell_727cfab7,alarm_bell,0.2289,0.0029,siren,review,normal,0.0,0.519,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_727cfab7.wav
desed_alarm_bell_744e48bf,alarm_bell,0.5088,0.0042,siren,auto_accept,,0.0,1.007,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_744e48bf.wav
desed_alarm_bell_74935f8d,alarm_bell,0.6498,0.0003,siren,auto_accept,,0.0,1.449,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_74935f8d.wav
desed_alarm_bell_7552527e,alarm_bell,0.1701,0.0016,siren,review,normal,0.0,0.361,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_7552527e.wav
desed_alarm_bell_75735c8c,alarm_bell,0.6952,0.0353,siren,auto_accept,,0.0,0.242,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_75735c8c.wav
desed_alarm_bell_77ea9d95,alarm_bell,0.2988,0.0825,siren,review,normal,0.0,0.333,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_77ea9d95.wav
desed_alarm_bell_7866e774,alarm_bell,0.1493,0.0013,siren,review,normal,3.787,4.846,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_7866e774.wav
desed_alarm_bell_7aaad03d,alarm_bell,0.2283,0.0018,siren,review,normal,0.0,0.359,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_7aaad03d.wav
desed_alarm_bell_7b54a1ea,alarm_bell,0.1751,0.3323,siren,review,high,0.0,0.311,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_7b54a1ea.wav
desed_alarm_bell_7bbe1dda,alarm_bell,0.4993,0.069,siren,auto_accept,,0.0,0.236,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_7bbe1dda.wav
desed_alarm_bell_7e5012d0,alarm_bell,0.4252,0.0019,siren,auto_accept,,0.0,1.005,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_7e5012d0.wav
desed_alarm_bell_7ece994a,alarm_bell,0.7987,0.0774,siren,auto_accept,,0.0,0.317,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_7ece994a.wav
desed_alarm_bell_7f3fcf5e,alarm_bell,0.7522,0.0003,siren,auto_accept,,0.0,1.329,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_7f3fcf5e.wav
desed_alarm_bell_8071cb1b,alarm_bell,0.7977,0.0799,siren,auto_accept,,0.0,0.316,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_8071cb1b.wav
desed_alarm_bell_812da415,alarm_bell,0.3369,0.0023,siren,auto_accept,,0.0,0.992,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_812da415.wav
desed_alarm_bell_8b2a67c7,alarm_bell,0.0612,0.0006,siren,review,normal,0.0,1.646,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_8b2a67c7.wav
desed_alarm_bell_8c2f0ef9,alarm_bell,0.6312,0.0007,siren,auto_accept,,0.0,1.007,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_8c2f0ef9.wav
desed_alarm_bell_90839037,alarm_bell,0.0542,0.0007,siren,review,normal,0.59,1.969,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_90839037.wav
desed_alarm_bell_91467225,alarm_bell,0.302,0.0019,siren,auto_accept,,0.0,0.516,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_91467225.wav
desed_alarm_bell_91cde4de,alarm_bell,0.1902,0.0035,siren,review,normal,0.0,0.313,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_91cde4de.wav
desed_alarm_bell_934d5d28,alarm_bell,0.8458,0.0141,siren,auto_accept,,0.0,0.315,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_934d5d28.wav
desed_alarm_bell_9548a650,alarm_bell,0.2802,0.0073,siren,review,normal,0.0,0.322,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_9548a650.wav
desed_alarm_bell_9798d0e0,alarm_bell,0.7083,0.0002,siren,auto_accept,,0.0,1.009,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_9798d0e0.wav
desed_alarm_bell_984c7d8f,alarm_bell,0.8068,0.0001,siren,auto_accept,,0.0,0.572,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_984c7d8f.wav
desed_alarm_bell_99539dab,alarm_bell,0.319,0.0258,siren,auto_accept,,0.0,0.274,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_99539dab.wav
desed_alarm_bell_9c98ff1f,alarm_bell,0.2625,0.0016,siren,review,normal,0.588,2.434,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_9c98ff1f.wav
desed_alarm_bell_9ca1a188,alarm_bell,0.1798,0.2523,siren,review,high,0.0,0.315,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_9ca1a188.wav
desed_alarm_bell_9ce1c5d8,alarm_bell,0.7352,0.0004,siren,auto_accept,,0.0,1.965,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_9ce1c5d8.wav
desed_alarm_bell_9dc444f3,alarm_bell,0.2109,0.0025,siren,review,normal,0.0,0.52,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_9dc444f3.wav
desed_alarm_bell_9e2f9d5e,alarm_bell,0.8627,0.0001,siren,auto_accept,,0.0,0.605,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_9e2f9d5e.wav
desed_alarm_bell_9fabdd47,alarm_bell,0.807,0.0724,siren,auto_accept,,0.0,0.317,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_9fabdd47.wav
