file_id,path_raw,source_dataset,source_id,source_group_id,claimed_class,label_type_orig,orig_split,orig_onset,orig_offset,duration,sample_rate_orig,channels,license,attribution,redistributable,download_date,checksum_sha256
desed_alarm_bell_097d4455,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/196376.wav,desed_soundbank,train/196376,freesound_196376,alarm_bell,isolated_event,train,0.0,2.645,2.645,44100,1,CC-BY,maisonsonique (freesound:196376),yes,2026-09-14,097d4455680b2216b0dc06b088eb86c65d4cb060748beb36e9d6a4018ee7ca26
desed_alarm_bell_09b865ef,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/21986.wav,desed_soundbank,train/21986,freesound_21986,alarm_bell,isolated_event,train,0.0,5.721,5.721,44100,1,CC-BY,mzinsser (freesound:21986),yes,2026-09-14,09b865ef8cfe8f114db6f2b938ba1b110fb776ddd93b4832295023e437e7222f
desed_alarm_bell_0e844103,data/raw/desed_soundbank/audio/eval/soundbank/foreground/Alarm_bell_ringing/233645_6.wav,desed_soundbank,eval/233645_6,freesound_233645,alarm_bell,isolated_event,eval,0.0,0.119,0.119,44100,1,CC-BY-NC,zanox (freesound:233645),labels_only,2026-09-14,0e84410322d7f83e0c01aeb8b3e1ed3ffffb70a9757d2ed2ea20cbd708f94709
desed_alarm_bell_0f458a63,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/255193_2.wav,desed_soundbank,train/255193_2,freesound_255193,alarm_bell,isolated_event,train,0.0,0.242,0.242,44100,1,CC-BY,michael_kur95 (freesound:255193),yes,2026-09-14,0f458a6393f3351909cb2497ddd3c13deaa679bd3b9d42cb2aea220a0a3da531
desed_alarm_bell_0feed5f4,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/189332_7.wav,desed_soundbank,train/189332_7,freesound_189332,alarm_bell,isolated_event,train,0.0,0.597,0.597,44100,1,CC0,sangtao (freesound:189332),yes,2026-09-14,0feed5f4c3bd1a886f6135d1757ec953771adb7aadeaa909dac906e03b6d9e57
desed_alarm_bell_10ae73de,data/raw/desed_soundbank/audio/eval/soundbank/foreground/Alarm_bell_ringing/329896_12.wav,desed_soundbank,eval/329896_12,freesound_329896,alarm_bell,isolated_event,eval,0.0,0.559,0.559,44100,1,CC-BY,YleArkisto (freesound:329896),yes,2026-09-14,10ae73defd38993cc781f2647256c989dfca0360f8d3dfaebf962416fb004c17
desed_alarm_bell_10af084e,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/196838_5.wav,desed_soundbank,train/196838_5,freesound_196838,alarm_bell,isolated_event,train,0.0,0.315,0.315,44100,1,CC-BY,idepe (freesound:196838),yes,2026-09-14,10af084e9cec0b15dc2f68d405e7cf20cdc6ad4063bc2d9863267935223dfbf4
desed_alarm_bell_1421b4bb,data/raw/desed_soundbank/audio/eval/soundbank/foreground/Alarm_bell_ringing/233645_9.wav,desed_soundbank,eval/233645_9,freesound_233645,alarm_bell,isolated_event,eval,0.0,1.008,1.008,44100,1,CC-BY-NC,zanox (freesound:233645),labels_only,2026-09-14,1421b4bb10b256b6923f557bf87bb32dc731568bde9e32d66bd41b7988de4543
desed_alarm_bell_14f28832,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/177875.wav,desed_soundbank,train/177875,freesound_177875,alarm_bell,isolated_event,train,0.0,1.681,1.681,44100,1,CC-BY,jorickhoofd (freesound:177875),yes,2026-09-14,14f288323e5d2f6b13cd9db7d9e8fd6bf7159ad4999a1491c5ffaa49ee6871a8
desed_alarm_bell_1508a031,data/raw/desed_soundbank/audio/eval/soundbank/foreground/Alarm_bell_ringing/233645_5.wav,desed_soundbank,eval/233645_5,freesound_233645,alarm_bell,isolated_event,eval,0.0,1.008,1.008,44100,1,CC-BY-NC,zanox (freesound:233645),labels_only,2026-09-14,1508a031c820d30c332dd59e3c549d80e19d7d00ad787a46832e71706088e59e
desed_alarm_bell_155a401b,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/268823_10.wav,desed_soundbank,train/268823_10,freesound_268823,alarm_bell,isolated_event,train,0.0,0.311,0.311,44100,1,CC-BY,kwahmah_02 (freesound:268823),yes,2026-09-14,155a401b05011546bc19b9f062aca502f5cbdcd0615ad645edfe74f837e7fdeb
desed_alarm_bell_182ba4c4,data/raw/desed_soundbank/audio/eval/soundbank/foreground/Alarm_bell_ringing/72558_5.wav,desed_soundbank,eval/72558_5,freesound_72558,alarm_bell,isolated_event,eval,0.0,0.320,0.32,44100,1,CC-BY-NC,Timbre (freesound:72558),labels_only,2026-09-14,182ba4c46ebb71323f6f312f07d256b268a12704e30c978e778dd8d4063fa564
desed_alarm_bell_1931680c,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/268823_14.wav,desed_soundbank,train/268823_14,freesound_268823,alarm_bell,isolated_event,train,0.0,0.311,0.311,44100,1,CC-BY,kwahmah_02 (freesound:268823),yes,2026-09-14,1931680c7764c3241a826e0fa49dc02013410f8cb874ef3fb747bfcd4e2c5f69
desed_alarm_bell_198a13ac,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/268823_5.wav,desed_soundbank,train/268823_5,freesound_268823,alarm_bell,isolated_event,train,0.0,0.311,0.311,44100,1,CC-BY,kwahmah_02 (freesound:268823),yes,2026-09-14,198a13ac4c0c549045272f35b4fa8bb16c3093c97347e2f91e1729861c596ba9
desed_alarm_bell_1a188021,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/259537_1.wav,desed_soundbank,train/259537_1,freesound_259537,alarm_bell,isolated_event,train,0.0,0.519,0.519,44100,1,CC0,Tempouser (freesound:259537),yes,2026-09-14,1a1880214723ac335cb4f5eaed2a779bfcb503e435ff8de6e5f9ed01a32b8a05
desed_alarm_bell_1b0d3a4d,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/264106_6.wav,desed_soundbank,train/264106_6,freesound_264106,alarm_bell,isolated_event,train,0.0,0.119,0.119,44100,1,CC-BY,kwahmah_02 (freesound:264106),yes,2026-09-14,1b0d3a4debbfd31de34d302a4f8e7b3d6824603f2131b2348d2827fd08587725
desed_alarm_bell_1d312407,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/268823_8.wav,desed_soundbank,train/268823_8,freesound_268823,alarm_bell,isolated_event,train,0.0,0.311,0.311,44100,1,CC-BY,kwahmah_02 (freesound:268823),yes,2026-09-14,1d312407b28e52bdee40031da3edacda8344d110ef0ba740180b81d1f4790a82
desed_alarm_bell_20191b46,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/255193_9.wav,desed_soundbank,train/255193_9,freesound_255193,alarm_bell,isolated_event,train,0.0,0.242,0.242,44100,1,CC-BY,michael_kur95 (freesound:255193),yes,2026-09-14,20191b46bd552f336f62f9e711ff199f1d3ac60ba380b269b020d393dba0a3e5
desed_alarm_bell_20245f39,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/151242_12.wav,desed_soundbank,train/151242_12,freesound_151242,alarm_bell,isolated_event,train,0.0,0.481,0.481,44100,1,CC-BY-NC,Tempouser (freesound:151242),labels_only,2026-09-14,20245f3995d537b76e2a19b386d9af8e79d009cf4cf3649b1696e96a15550869
desed_alarm_bell_207ac269,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/151242_13.wav,desed_soundbank,train/151242_13,freesound_151242,alarm_bell,isolated_event,train,0.0,0.483,0.483,44100,1,CC-BY-NC,Tempouser (freesound:151242),labels_only,2026-09-14,207ac269aaf597dce0083624569977c7b93f9b9cefe9464b976391d5521b2b36
desed_alarm_bell_212036cc,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/264106_8.wav,desed_soundbank,train/264106_8,freesound_264106,alarm_bell,isolated_event,train,0.0,0.485,0.485,44100,1,CC-BY,kwahmah_02 (freesound:264106),yes,2026-09-14,212036cc067fb0bbed133fc24aa1625a7bcd94a59ea0cc88d236b1169f2558ed
desed_alarm_bell_21bea9cc,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/400695.wav,desed_soundbank,train/400695,freesound_400695,alarm_bell,isolated_event,train,0.0,1.764,1.764,44100,1,CC0,dm103 (freesound:400695),yes,2026-09-14,21bea9cc9ff63dbbd76c8e77af2fc8c7340eff5766378a3e77edf48be49aaf49
desed_alarm_bell_22000d5c,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/268823_13.wav,desed_soundbank,train/268823_13,freesound_268823,alarm_bell,isolated_event,train,0.0,0.311,0.311,44100,1,CC-BY,kwahmah_02 (freesound:268823),yes,2026-09-14,22000d5c16c6d85b96cfd85e33ae28758443a2b88815eed29222ef392526799b
desed_alarm_bell_248cb8a7,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/141287.wav,desed_soundbank,train/141287,freesound_141287,alarm_bell,isolated_event,train,0.0,25.449,25.449,44100,1,CC-BY,soundrecorder7 (freesound:141287),yes,2026-09-14,248cb8a7887b1ec86e3dc69adfd21377ef7e8e8d05f2b398ab7fb81c32fae254
desed_alarm_bell_26315eee,data/raw/desed_soundbank/audio/eval/soundbank/foreground/Alarm_bell_ringing/329896_4.wav,desed_soundbank,eval/329896_4,freesound_329896,alarm_bell,isolated_event,eval,0.0,0.564,0.564,44100,1,CC-BY,YleArkisto (freesound:329896),yes,2026-09-14,26315eee202fc0dc76646cf207748985e70607faa59fa81a7b9bfb1669f1781f
desed_alarm_bell_279220b2,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/255194_5.wav,desed_soundbank,train/255194_5,freesound_255194,alarm_bell,isolated_event,train,0.0,0.316,0.316,44100,1,CC-BY,michael_kur95 (freesound:255194),yes,2026-09-14,279220b2a6c3cf78515751947e98e613d2ecc5cc6ca7914b647c8c3137f77319
desed_alarm_bell_2888c09d,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/268823_12.wav,desed_soundbank,train/268823_12,freesound_268823,alarm_bell,isolated_event,train,0.0,0.311,0.311,44100,1,CC-BY,kwahmah_02 (freesound:268823),yes,2026-09-14,2888c09d1cfe544419b69a04bfd9f7c5f20224829a2b118e94eec49c17001257
desed_alarm_bell_2930494e,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/164690.wav,desed_soundbank,train/164690,freesound_164690,alarm_bell,isolated_event,train,0.0,4.537,4.537,44100,1,CC0,Adam_N (freesound:164690),yes,2026-09-14,2930494e4f3b2d93f95c4632f6f35c6a4e3afbab9df255b5434e6f5870858e56
desed_alarm_bell_2b643cb8,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/70102.wav,desed_soundbank,train/70102,freesound_70102,alarm_bell,isolated_event,train,0.0,8.674,8.674,44100,1,CC-BY,gregswinford (freesound:70102),yes,2026-09-14,2b643cb8aa51a26322a2a682adbf9d897b814d9e4138139d48a4a00cbcc8a60d
desed_alarm_bell_2b777247,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/20101_0.wav,desed_soundbank,train/20101_0,freesound_20101,alarm_bell,isolated_event,train,0.0,2.168,2.168,44100,1,CC-BY,FreqMan (freesound:20101),yes,2026-09-14,2b7772471b4be0b119a0f8be45fd2c34d9babed24b8188683267d766f7bd821e
desed_alarm_bell_2c424415,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/34853_6.wav,desed_soundbank,train/34853_6,freesound_34853,alarm_bell,isolated_event,train,0.0,0.320,0.32,44100,1,CC-Sampling+,jackstrebor (freesound:34853),labels_only,2026-09-14,2c424415d1942ee12e5655c38e0066d7b30d431b7563472761f174771336d2b8
desed_alarm_bell_2f675ca9,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/87151.wav,desed_soundbank,train/87151,freesound_87151,alarm_bell,isolated_event,train,0.0,2.427,2.427,44100,1,CC-BY,akanimbus (freesound:87151),yes,2026-09-14,2f675ca93c4c029efc9026a130f32c2a2d6fca665e80a5e982eec9f39081a689
desed_alarm_bell_313321fb,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/268823_0.wav,desed_soundbank,train/268823_0,freesound_268823,alarm_bell,isolated_event,train,0.0,0.306,0.306,44100,1,CC-BY,kwahmah_02 (freesound:268823),yes,2026-09-14,313321fb5d23ae9791abf26befc4c1ce490ec834626389e06ebec95683694219
desed_alarm_bell_3134eda0,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/275629.wav,desed_soundbank,train/275629,freesound_275629,alarm_bell,isolated_event,train,0.0,2.444,2.444,44100,1,CC0,hanneswannerberger (freesound:275629),yes,2026-09-14,3134eda05c6783d9e234838f3232cc43df6d77e1362af16faf8df0b00606a0a3
desed_alarm_bell_319b8e25,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/264106_7.wav,desed_soundbank,train/264106_7,freesound_264106,alarm_bell,isolated_event,train,0.0,0.489,0.489,44100,1,CC-BY,kwahmah_02 (freesound:264106),yes,2026-09-14,319b8e2509da8b8706627e5ae7ca671cbbc71deb189a34179879fe99e33fee75
desed_alarm_bell_3530a9cb,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/13613_9.wav,desed_soundbank,train/13613_9,freesound_13613,alarm_bell,isolated_event,train,0.0,0.320,0.32,44100,1,CC0,hookhead (freesound:13613),yes,2026-09-14,3530a9cb9644b86e4805301d63aea83e2fa4c6165782ce3a92c51ad27ed6cce5
desed_alarm_bell_355fa571,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/196838_6.wav,desed_soundbank,train/196838_6,freesound_196838,alarm_bell,isolated_event,train,0.0,0.320,0.32,44100,1,CC-BY,idepe (freesound:196838),yes,2026-09-14,355fa571bdcb574ac852abec862edab10b9a25ba9f07df78abe4b9230799b115
desed_alarm_bell_36e46582,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/189332_1.wav,desed_soundbank,train/189332_1,freesound_189332,alarm_bell,isolated_event,train,0.0,0.562,0.562,44100,1,CC0,sangtao (freesound:189332),yes,2026-09-14,36e4658245f6bbf5d6815ca99ca5bcdb7d46be4d494008e62c8a21a133133bf9
desed_alarm_bell_3747d982,data/raw/desed_soundbank/audio/eval/soundbank/foreground/Alarm_bell_ringing/329896_20.wav,desed_soundbank,eval/329896_20,freesound_329896,alarm_bell,isolated_event,eval,0.0,0.610,0.61,44100,1,CC-BY,YleArkisto (freesound:329896),yes,2026-09-14,3747d982df3389d8859d304f13149237eb6d2fefb70d74f896d0871e9c54e6b3
desed_alarm_bell_3787c6c4,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/34853_7.wav,desed_soundbank,train/34853_7,freesound_34853,alarm_bell,isolated_event,train,0.0,0.316,0.316,44100,1,CC-Sampling+,jackstrebor (freesound:34853),labels_only,2026-09-14,3787c6c4e66e8b0048367050c9e864d6ad313bc8a1c1ae827176a36d36669f41
desed_alarm_bell_37a1f4a3,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/189332_2.wav,desed_soundbank,train/189332_2,freesound_189332,alarm_bell,isolated_event,train,0.0,0.572,0.572,44100,1,CC0,sangtao (freesound:189332),yes,2026-09-14,37a1f4a3b0c08f092a676deeab3c3aca30032d4952848bdb780e503d608838e2
desed_alarm_bell_38ceec78,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/151242_3.wav,desed_soundbank,train/151242_3,freesound_151242,alarm_bell,isolated_event,train,0.0,0.235,0.235,44100,1,CC-BY-NC,Tempouser (freesound:151242),labels_only,2026-09-14,38ceec78c21aba551ad8875d0cb9932d70f778cf46db53a523370f661b365db7
desed_alarm_bell_39790714,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/259537_2.wav,desed_soundbank,train/259537_2,freesound_259537,alarm_bell,isolated_event,train,0.0,0.514,0.514,44100,1,CC0,Tempouser (freesound:259537),yes,2026-09-14,3979071401d86781c1cf8586bb2a4663fc0983ad4f930d52f8903e35ee76afee
desed_alarm_bell_399b7f76,data/raw/desed_soundbank/audio/eval/soundbank/foreground/Alarm_bell_ringing/72558_8.wav,desed_soundbank,eval/72558_8,freesound_72558,alarm_bell,isolated_event,eval,0.0,0.320,0.32,44100,1,CC-BY-NC,Timbre (freesound:72558),labels_only,2026-09-14,399b7f76b064fc4cd14e99b69912af8018a56d25f19dec4d53ce4e11369c54d8
desed_alarm_bell_39aad88b,data/raw/desed_soundbank/audio/eval/soundbank/foreground/Alarm_bell_ringing/329896_3.wav,desed_soundbank,eval/329896_3,freesound_329896,alarm_bell,isolated_event,eval,0.0,0.555,0.555,44100,1,CC-BY,YleArkisto (freesound:329896),yes,2026-09-14,39aad88b21902e1096e031701b93d7cde696f748b1240d008f686d66e478f857
desed_alarm_bell_3ab4ee0b,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/151242_2.wav,desed_soundbank,train/151242_2,freesound_151242,alarm_bell,isolated_event,train,0.0,0.235,0.235,44100,1,CC-BY-NC,Tempouser (freesound:151242),labels_only,2026-09-14,3ab4ee0b2f88eaa3aacd26a93dc3b8394478a4cbaae87ac79415618a6a0cbca0
desed_alarm_bell_3c39b5e5,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/264106_4.wav,desed_soundbank,train/264106_4,freesound_264106,alarm_bell,isolated_event,train,0.0,0.094,0.094,44100,1,CC-BY,kwahmah_02 (freesound:264106),yes,2026-09-14,3c39b5e5c8e894305a3d2458fbb65ba4a446ec578d00dd9899bc954bb801abee
desed_alarm_bell_3c701262,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/88021_2.wav,desed_soundbank,train/88021_2,freesound_88021,alarm_bell,isolated_event,train,0.0,2.577,2.577,44100,1,CC-BY-NC,Spleencast (freesound:88021),labels_only,2026-09-14,3c701262778acfc2ab025d38eecfc119b9d5ebf90ddb17bdae1fb044dfe1a921
desed_alarm_bell_3d9c81a5,data/raw/desed_soundbank/audio/eval/soundbank/foreground/Alarm_bell_ringing/329896_13.wav,desed_soundbank,eval/329896_13,freesound_329896,alarm_bell,isolated_event,eval,0.0,0.538,0.538,44100,1,CC-BY,YleArkisto (freesound:329896),yes,2026-09-14,3d9c81a55d1fa40b2f4c7413dd42838af2aefa9853f7004e6e0578ba4faa5ca8
desed_alarm_bell_3def01ac,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/258175_2.wav,desed_soundbank,train/258175_2,freesound_258175,alarm_bell,isolated_event,train,0.0,3.648,3.648,44100,1,CC-BY,kwahmah_02 (freesound:258175),yes,2026-09-14,3def01ac97ac806f901853ae7bbce66ee710ec1c0072b96208c4bc29c628b13f
desed_alarm_bell_3f9d5aa3,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/268823_6.wav,desed_soundbank,train/268823_6,freesound_268823,alarm_bell,isolated_event,train,0.0,0.311,0.311,44100,1,CC-BY,kwahmah_02 (freesound:268823),yes,2026-09-14,3f9d5aa384eee9e06829d83b0ea9d15029829a90eb9497abe9bc2813eb209b41
desed_alarm_bell_4028a3da,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/209536.wav,desed_soundbank,train/209536,freesound_209536,alarm_bell,isolated_event,train,0.0,4.831,4.831,44100,1,CC0,jackjames_tomknevitt (freesound:209536),yes,2026-09-14,4028a3da17c16ebc0b35a3a077516be637e840424ae6170e14be9a8f5555dd4d
desed_alarm_bell_4048080c,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/264106_3.wav,desed_soundbank,train/264106_3,freesound_264106,alarm_bell,isolated_event,train,0.0,0.104,0.104,44100,1,CC-BY,kwahmah_02 (freesound:264106),yes,2026-09-14,4048080c12fccf003901572044e0d71daea4b19f45d53e208d627acaace0f36a
desed_alarm_bell_412215d7,data/raw/desed_soundbank/audio/eval/soundbank/foreground/Alarm_bell_ringing/79440_0.wav,desed_soundbank,eval/79440_0,freesound_79440,alarm_bell,isolated_event,eval,0.0,3.735,3.735,44100,1,CC0,xyzr_kx (freesound:79440),yes,2026-09-14,412215d7867840d5374aa64c10fad13497db86d11907bc874397731ea42fe377
desed_alarm_bell_412d0e49,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/54277_0.wav,desed_soundbank,train/54277_0,freesound_54277,alarm_bell,isolated_event,train,0.0,4.233,4.233,44100,1,CC0,guitarguy1985 (freesound:54277),yes,2026-09-14,412d0e498d14af2f71da6190b9a18a76b378dcdf1836ae8dedd7e2bde653a76b
desed_alarm_bell_42a59b74,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/189332_6.wav,desed_soundbank,train/189332_6,freesound_189332,alarm_bell,isolated_event,train,0.0,0.570,0.57,44100,1,CC0,sangtao (freesound:189332),yes,2026-09-14,42a59b74a83d60bf2baeb0916fef422e41c222268d8baa002bb90d44c5b20a30
desed_alarm_bell_42ad3bf9,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/151242_0.wav,desed_soundbank,train/151242_0,freesound_151242,alarm_bell,isolated_event,train,0.0,0.229,0.229,44100,1,CC-BY-NC,Tempouser (freesound:151242),labels_only,2026-09-14,42ad3bf9580b061d6e3befcb357ca5a8b2884f5b0c635ae73aeaac7b10bc79f6
desed_alarm_bell_42f68488,data/raw/desed_soundbank/audio/eval/soundbank/foreground/Alarm_bell_ringing/72558_2.wav,desed_soundbank,eval/72558_2,freesound_72558,alarm_bell,isolated_event,eval,0.0,0.313,0.313,44100,1,CC-BY-NC,Timbre (freesound:72558),labels_only,2026-09-14,42f684885b9260a79fc0d3bf056af8466eb7791d21c8fe05897ccb0cbfab7ae1
desed_alarm_bell_46415fd7,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/264106_5.wav,desed_soundbank,train/264106_5,freesound_264106,alarm_bell,isolated_event,train,0.0,0.095,0.095,44100,1,CC-BY,kwahmah_02 (freesound:264106),yes,2026-09-14,46415fd7e4773bb0d52a7540a9911c1f1cf6a3b66c7f1908e6881046ad27d838
desed_alarm_bell_47161f23,data/raw/desed_soundbank/audio/eval/soundbank/foreground/Alarm_bell_ringing/329896_10.wav,desed_soundbank,eval/329896_10,freesound_329896,alarm_bell,isolated_event,eval,0.0,0.534,0.534,44100,1,CC-BY,YleArkisto (freesound:329896),yes,2026-09-14,47161f238ac7a5f0fb7934c2040bcf0e09040d55f7fdbb46461e66e3ac624003
desed_alarm_bell_475854b8,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/264106_11.wav,desed_soundbank,train/264106_11,freesound_264106,alarm_bell,isolated_event,train,0.0,0.492,0.492,44100,1,CC-BY,kwahmah_02 (freesound:264106),yes,2026-09-14,475854b82ae868f5cb92e3d21f1b571182cbf5e82b8082d72b873eaa58337772
desed_alarm_bell_49d0ae15,data/raw/desed_soundbank/audio/train/soundbank/foreground/Alarm_bell_ringing/151242_1.wav,desed_soundbank,train/151242_1,freesound_151242,alarm_bell,isolated_event,train,0.0,0.237,0.237,44100,1,CC-BY-NC,Tempouser (freesound:151242),labels_only,2026-09-14,49d0ae15ca31f451a56d742605b9e7ef8bc98b65cdd94902e458fd48d91c1df1
