priority,file_id,class_id,p_target,p_confusable,top_confusable,onset,offset,path_norm
high,desed_alarm_bell_155a401b,alarm_bell,0.1751,0.3321,siren,0.0,0.311,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_155a401b.wav
high,desed_alarm_bell_7b54a1ea,alarm_bell,0.1751,0.3323,siren,0.0,0.311,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_7b54a1ea.wav
high,desed_alarm_bell_61becda7,alarm_bell,0.175,0.332,siren,0.0,0.311,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_61becda7.wav
high,desed_alarm_bell_1931680c,alarm_bell,0.1738,0.3326,siren,0.0,0.311,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_1931680c.wav
high,desed_alarm_bell_70f81d45,alarm_bell,0.1738,0.3326,siren,0.0,0.311,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_70f81d45.wav
high,desed_alarm_bell_c47ac082,alarm_bell,0.1736,0.3327,siren,0.0,0.311,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_c47ac082.wav
high,desed_alarm_bell_1d312407,alarm_bell,0.1719,0.3335,siren,0.0,0.311,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_1d312407.wav
high,desed_alarm_bell_4f72d71e,alarm_bell,0.1715,0.3335,siren,0.0,0.311,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_4f72d71e.wav
high,desed_alarm_bell_c9541d57,alarm_bell,0.1709,0.3339,siren,0.0,0.311,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_c9541d57.wav
high,desed_alarm_bell_3f9d5aa3,alarm_bell,0.1705,0.3342,siren,0.0,0.311,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_3f9d5aa3.wav
high,desed_alarm_bell_198a13ac,alarm_bell,0.1691,0.3346,siren,0.0,0.311,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_198a13ac.wav
high,desed_alarm_bell_2888c09d,alarm_bell,0.1691,0.3345,siren,0.0,0.311,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_2888c09d.wav
high,desed_alarm_bell_4acef7b3,alarm_bell,0.1688,0.3348,siren,0.0,0.311,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_4acef7b3.wav
high,fsd50k_alarm_bell_499f0667,alarm_bell,0.1652,0.2284,siren,0.0,0.903,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\fsd50k_alarm_bell_499f0667.wav
high,desed_alarm_bell_bfa154e7,alarm_bell,0.1578,0.1684,siren,0.0,0.32,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_bfa154e7.wav
high,desed_alarm_bell_399b7f76,alarm_bell,0.1451,0.2295,siren,0.0,0.32,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_399b7f76.wav
high,desed_alarm_bell_3787c6c4,alarm_bell,0.142,0.2133,siren,0.0,0.316,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_3787c6c4.wav
high,desed_alarm_bell_313321fb,alarm_bell,0.1387,0.3201,siren,0.0,0.306,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_313321fb.wav
high,desed_alarm_bell_ffbbde52,alarm_bell,0.117,0.3191,siren,0.0,0.316,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\desed_alarm_bell_ffbbde52.wav
high,fsd50k_alarm_bell_16269762,alarm_bell,0.1091,0.2111,siren,0.588,1.685,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\fsd50k_alarm_bell_16269762.wav
high,fsd50k_alarm_bell_a6a35d95,alarm_bell,0.0946,0.5577,siren,0.0,1.957,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\alarm_bell\fsd50k_alarm_bell_a6a35d95.wav
high,fsd50k_door_slam_67fb65d6,door_slam,0.1441,0.2359,object_drop_dishes,0.0,0.534,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\door_slam\fsd50k_door_slam_67fb65d6.wav
high,fsd50k_door_slam_0dabf3bc,door_slam,0.1293,0.1541,object_drop_dishes,0.0,0.688,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\door_slam\fsd50k_door_slam_0dabf3bc.wav
high,fsd50k_door_slam_225e40ad,door_slam,0.1153,0.1157,object_drop_dishes,1.228,2.605,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\door_slam\fsd50k_door_slam_225e40ad.wav
high,fsd50k_door_slam_4cc9da40,door_slam,0.1003,0.1103,object_drop_dishes,0.0,0.689,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\door_slam\fsd50k_door_slam_4cc9da40.wav
high,fsd50k_door_slam_ff58e43f,door_slam,0.0858,0.1474,object_drop_dishes,0.0,0.531,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\door_slam\fsd50k_door_slam_ff58e43f.wav
high,fsd50k_door_slam_d87823f9,door_slam,0.0852,0.23,object_drop_dishes,0.0,0.686,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\door_slam\fsd50k_door_slam_d87823f9.wav
high,fsd50k_door_slam_365d7796,door_slam,0.0745,0.2324,object_drop_dishes,0.0,0.723,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\door_slam\fsd50k_door_slam_365d7796.wav
high,fsd50k_door_slam_5c872487,door_slam,0.0621,0.0927,object_drop_dishes,0.0,0.687,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\door_slam\fsd50k_door_slam_5c872487.wav
high,fsd50k_door_slam_cac0590b,door_slam,0.0571,0.078,object_drop_dishes,0.0,0.685,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\door_slam\fsd50k_door_slam_cac0590b.wav
high,fsd50k_explosion_fc9977b4,explosion,0.2973,0.3182,gunshot,0.0,1.005,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\explosion\fsd50k_explosion_fc9977b4.wav
high,fsd50k_explosion_fef926c2,explosion,0.2425,0.4427,gunshot,0.0,0.814,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\explosion\fsd50k_explosion_fef926c2.wav
high,fsd50k_explosion_03e699d1,explosion,0.151,0.2231,gunshot,0.0,1.009,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\explosion\fsd50k_explosion_03e699d1.wav
high,fsd50k_explosion_8bff52d5,explosion,0.1374,0.3473,gunshot,0.0,0.346,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\explosion\fsd50k_explosion_8bff52d5.wav
high,fsd50k_explosion_60ebe589,explosion,0.1271,0.2324,gunshot,0.0,1.007,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\explosion\fsd50k_explosion_60ebe589.wav
high,fsd50k_explosion_cc809249,explosion,0.1156,0.1888,gunshot,0.0,1.504,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\explosion\fsd50k_explosion_cc809249.wav
high,fsd50k_explosion_508dd7c8,explosion,0.1025,0.579,gunshot,1.87,3.89,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\explosion\fsd50k_explosion_508dd7c8.wav
high,fsd50k_explosion_9a463f63,explosion,0.0871,0.1758,fireworks,0.0,1.009,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\explosion\fsd50k_explosion_9a463f63.wav
high,fsd50k_explosion_4c051381,explosion,0.0803,0.2899,fireworks,0.0,1.33,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\explosion\fsd50k_explosion_4c051381.wav
high,fsd50k_explosion_57f90970,explosion,0.0726,0.5961,fireworks,0.0,0.365,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\explosion\fsd50k_explosion_57f90970.wav
high,fsd50k_explosion_524ddf5a,explosion,0.0659,0.2308,gunshot,0.0,0.398,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\explosion\fsd50k_explosion_524ddf5a.wav
high,fsd50k_fireworks_9c0a8820,fireworks,0.2627,0.4365,explosion,0.0,0.689,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\fireworks\fsd50k_fireworks_9c0a8820.wav
high,fsd50k_fireworks_6800c878,fireworks,0.2449,0.3707,explosion,0.0,0.689,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\fireworks\fsd50k_fireworks_6800c878.wav
high,fsd50k_fireworks_b05f431b,fireworks,0.2173,0.3403,explosion,0.0,0.689,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\fireworks\fsd50k_fireworks_b05f431b.wav
high,fsd50k_fireworks_cdc9172d,fireworks,0.1174,0.3688,explosion,0.0,1.009,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\fireworks\fsd50k_fireworks_cdc9172d.wav
high,fsd50k_fireworks_34ba8a2e,fireworks,0.1161,0.5121,gunshot,0.0,1.008,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\fireworks\fsd50k_fireworks_34ba8a2e.wav
high,fsd50k_fireworks_2e73845c,fireworks,0.1131,0.1291,gunshot,1.228,2.607,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\fireworks\fsd50k_fireworks_2e73845c.wav
high,fsd50k_fireworks_2b7ae166,fireworks,0.099,0.2022,explosion,0.0,0.687,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\fireworks\fsd50k_fireworks_2b7ae166.wav
high,fsd50k_fireworks_c7edd2d0,fireworks,0.0801,0.2497,gunshot,0.0,0.689,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\fireworks\fsd50k_fireworks_c7edd2d0.wav
high,fsd50k_fireworks_79a2d496,fireworks,0.0777,0.4789,gunshot,0.0,0.685,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\fireworks\fsd50k_fireworks_79a2d496.wav
high,fsd50k_fireworks_c41e4f94,fireworks,0.0557,0.0729,gunshot,0.27,1.33,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\fireworks\fsd50k_fireworks_c41e4f94.wav
high,fsd50k_fireworks_e300fa40,fireworks,0.0542,0.1471,explosion,0.0,0.689,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\fireworks\fsd50k_fireworks_e300fa40.wav
high,fsd50k_glass_breaking_c2db8bfd,glass_breaking,0.0662,0.0685,object_drop_dishes,0.0,1.01,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\glass_breaking\fsd50k_glass_breaking_c2db8bfd.wav
high,fsd50k_glass_breaking_14e8e350,glass_breaking,0.0505,0.0578,vehicle_crash,0.269,1.327,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\glass_breaking\fsd50k_glass_breaking_14e8e350.wav
high,fsd50k_gunshot_00fa9f7a,gunshot,0.7224,0.8947,explosion,0.0,0.687,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\fsd50k_gunshot_00fa9f7a.wav
high,fsd50k_gunshot_259ad471,gunshot,0.4786,0.5163,explosion,0.0,1.009,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\fsd50k_gunshot_259ad471.wav
high,fsd50k_gunshot_d19ed653,gunshot,0.3613,0.4367,explosion,0.0,1.008,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\fsd50k_gunshot_d19ed653.wav
high,urbansound8k_gunshot_8ef34fac,gunshot,0.3544,0.4514,explosion,0.0,1.006,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\urbansound8k_gunshot_8ef34fac.wav
high,urbansound8k_gunshot_b7e77b67,gunshot,0.3467,0.3606,explosion,0.0,1.008,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\urbansound8k_gunshot_b7e77b67.wav
high,urbansound8k_gunshot_1820f28c,gunshot,0.3328,0.3835,explosion,0.0,1.006,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\urbansound8k_gunshot_1820f28c.wav
high,urbansound8k_gunshot_2288c6f8,gunshot,0.3105,0.3461,explosion,0.0,1.008,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\urbansound8k_gunshot_2288c6f8.wav
high,urbansound8k_gunshot_761e05b7,gunshot,0.3032,0.3056,fireworks,0.0,1.219,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\urbansound8k_gunshot_761e05b7.wav
high,urbansound8k_gunshot_d2dd2312,gunshot,0.3029,0.4322,fireworks,0.0,1.003,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\urbansound8k_gunshot_d2dd2312.wav
high,urbansound8k_gunshot_0859c2ab,gunshot,0.2785,0.2822,fireworks,0.0,1.009,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\urbansound8k_gunshot_0859c2ab.wav
high,fsd50k_gunshot_a217d21f,gunshot,0.2768,0.3318,explosion,0.0,0.689,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\fsd50k_gunshot_a217d21f.wav
high,fsd50k_gunshot_c2c90576,gunshot,0.2677,0.3251,explosion,0.0,0.688,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\fsd50k_gunshot_c2c90576.wav
high,fsd50k_gunshot_5fa02c21,gunshot,0.2632,0.2782,explosion,0.0,0.688,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\fsd50k_gunshot_5fa02c21.wav
high,urbansound8k_gunshot_68796832,gunshot,0.2592,0.4025,fireworks,0.0,0.746,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\urbansound8k_gunshot_68796832.wav
high,urbansound8k_gunshot_d6801aaf,gunshot,0.2551,0.4069,fireworks,0.0,1.008,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\urbansound8k_gunshot_d6801aaf.wav
high,urbansound8k_gunshot_18c9616a,gunshot,0.2544,0.5237,fireworks,0.0,0.682,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\urbansound8k_gunshot_18c9616a.wav
high,urbansound8k_gunshot_fe7db81b,gunshot,0.2485,0.3563,fireworks,0.0,1.004,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\urbansound8k_gunshot_fe7db81b.wav
high,fsd50k_gunshot_1530dd4d,gunshot,0.2411,0.2833,fireworks,0.0,1.648,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\fsd50k_gunshot_1530dd4d.wav
high,fsd50k_gunshot_0c6eeca9,gunshot,0.2409,0.2765,fireworks,0.27,1.648,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\fsd50k_gunshot_0c6eeca9.wav
high,urbansound8k_gunshot_771a26be,gunshot,0.2355,0.4719,fireworks,0.0,1.05,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\urbansound8k_gunshot_771a26be.wav
high,urbansound8k_gunshot_5f55375c,gunshot,0.2336,0.2851,fireworks,0.0,1.004,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\urbansound8k_gunshot_5f55375c.wav
high,urbansound8k_gunshot_f9ce4871,gunshot,0.2292,0.2771,fireworks,0.0,1.219,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\urbansound8k_gunshot_f9ce4871.wav
high,urbansound8k_gunshot_eed4db29,gunshot,0.2206,0.262,fireworks,0.0,0.685,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\urbansound8k_gunshot_eed4db29.wav
high,urbansound8k_gunshot_1ed37a8c,gunshot,0.2202,0.4482,fireworks,0.0,0.683,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\urbansound8k_gunshot_1ed37a8c.wav
high,urbansound8k_gunshot_6a41f9ea,gunshot,0.219,0.5241,fireworks,0.0,1.003,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\urbansound8k_gunshot_6a41f9ea.wav
high,fsd50k_gunshot_d199dcec,gunshot,0.2187,0.294,explosion,0.0,0.688,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\fsd50k_gunshot_d199dcec.wav
high,urbansound8k_gunshot_02afa64a,gunshot,0.217,0.3103,fireworks,0.0,0.87,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\urbansound8k_gunshot_02afa64a.wav
high,urbansound8k_gunshot_3a0eafd1,gunshot,0.1886,0.5271,fireworks,0.0,1.004,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\urbansound8k_gunshot_3a0eafd1.wav
high,fsd50k_gunshot_23acaa20,gunshot,0.1874,0.3076,fireworks,0.269,1.327,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\fsd50k_gunshot_23acaa20.wav
high,fsd50k_gunshot_529f7862,gunshot,0.1847,0.4259,explosion,0.59,1.969,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\fsd50k_gunshot_529f7862.wav
high,urbansound8k_gunshot_bc133e8c,gunshot,0.1816,0.3043,fireworks,0.0,0.685,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\urbansound8k_gunshot_bc133e8c.wav
high,urbansound8k_gunshot_d7e367bc,gunshot,0.1805,0.2722,explosion,0.0,0.686,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\urbansound8k_gunshot_d7e367bc.wav
high,fsd50k_gunshot_2cf3fec3,gunshot,0.1799,0.2285,door_slam,4.424,5.482,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\fsd50k_gunshot_2cf3fec3.wav
high,urbansound8k_gunshot_0096ccb0,gunshot,0.1786,0.2057,fireworks,0.0,0.687,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\urbansound8k_gunshot_0096ccb0.wav
high,urbansound8k_gunshot_a003caa3,gunshot,0.1755,0.3945,fireworks,0.0,0.687,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\urbansound8k_gunshot_a003caa3.wav
high,urbansound8k_gunshot_f4ede6ec,gunshot,0.1729,0.2549,fireworks,0.0,1.006,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\urbansound8k_gunshot_f4ede6ec.wav
high,urbansound8k_gunshot_ab88727c,gunshot,0.1712,0.2071,fireworks,0.0,0.686,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\urbansound8k_gunshot_ab88727c.wav
high,urbansound8k_gunshot_e18d03e8,gunshot,0.1648,0.5388,fireworks,0.0,0.685,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\urbansound8k_gunshot_e18d03e8.wav
high,urbansound8k_gunshot_380ea505,gunshot,0.1644,0.2129,fireworks,0.0,1.009,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\urbansound8k_gunshot_380ea505.wav
high,urbansound8k_gunshot_6f0bc71c,gunshot,0.1631,0.2959,fireworks,0.0,1.01,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\urbansound8k_gunshot_6f0bc71c.wav
high,urbansound8k_gunshot_b6016ae5,gunshot,0.1606,0.2192,fireworks,0.0,0.689,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\urbansound8k_gunshot_b6016ae5.wav
high,urbansound8k_gunshot_77442c03,gunshot,0.1602,0.2315,fireworks,0.0,1.006,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\urbansound8k_gunshot_77442c03.wav
high,urbansound8k_gunshot_9ee4e384,gunshot,0.1593,0.2141,fireworks,0.0,0.689,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\urbansound8k_gunshot_9ee4e384.wav
high,urbansound8k_gunshot_a612d6ff,gunshot,0.1588,0.2161,fireworks,0.0,1.01,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\urbansound8k_gunshot_a612d6ff.wav
high,fsd50k_gunshot_bdf7dd38,gunshot,0.1586,0.3276,fireworks,0.27,1.329,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\fsd50k_gunshot_bdf7dd38.wav
high,urbansound8k_gunshot_d7689e22,gunshot,0.1586,0.252,fireworks,0.0,1.005,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\urbansound8k_gunshot_d7689e22.wav
high,urbansound8k_gunshot_19e27924,gunshot,0.158,0.3569,fireworks,0.0,1.009,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\urbansound8k_gunshot_19e27924.wav
high,urbansound8k_gunshot_f3e7fa5a,gunshot,0.1538,0.5327,fireworks,0.0,1.005,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\urbansound8k_gunshot_f3e7fa5a.wav
high,urbansound8k_gunshot_5ffcab35,gunshot,0.1502,0.2705,fireworks,0.0,1.009,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\urbansound8k_gunshot_5ffcab35.wav
high,urbansound8k_gunshot_a18e7b8c,gunshot,0.1453,0.266,fireworks,0.0,1.009,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\urbansound8k_gunshot_a18e7b8c.wav
high,fsd50k_gunshot_770d4c7d,gunshot,0.1439,0.2389,fireworks,0.0,3.242,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\fsd50k_gunshot_770d4c7d.wav
high,urbansound8k_gunshot_f09983f4,gunshot,0.143,0.2426,fireworks,0.0,1.01,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\urbansound8k_gunshot_f09983f4.wav
high,fsd50k_gunshot_040a211d,gunshot,0.1395,0.1912,explosion,0.0,0.69,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\fsd50k_gunshot_040a211d.wav
high,urbansound8k_gunshot_db8335dc,gunshot,0.1342,0.4847,fireworks,0.0,1.009,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\urbansound8k_gunshot_db8335dc.wav
high,urbansound8k_gunshot_eb0c0fec,gunshot,0.1317,0.1822,fireworks,0.0,0.685,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\urbansound8k_gunshot_eb0c0fec.wav
high,urbansound8k_gunshot_354a2eca,gunshot,0.1314,0.1409,fireworks,0.0,0.69,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\urbansound8k_gunshot_354a2eca.wav
high,fsd50k_gunshot_21c74b25,gunshot,0.1308,0.5103,fireworks,0.0,3.566,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\fsd50k_gunshot_21c74b25.wav
high,fsd50k_gunshot_6efc093f,gunshot,0.1308,0.6362,fireworks,8.585,9.964,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\fsd50k_gunshot_6efc093f.wav
high,fsd50k_gunshot_8cabd436,gunshot,0.1305,0.2785,explosion,0.27,1.329,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\fsd50k_gunshot_8cabd436.wav
high,urbansound8k_gunshot_9b908837,gunshot,0.1251,0.135,fireworks,0.0,0.636,D:\IUH_K18\HK1N5\KLTN\audio-security-rag\data\interim\normalized\gunshot\urbansound8k_gunshot_9b908837.wav
